P/E Ratio,PEG Ratio,Beta (5y),Beta (1y),Quick Ratio,Current Ratio,Debt to Equity,Debt to Assets,Net Debt to Capital
10.2,0.16,0.37,0.27,0.4,0.6,167.4,45.6,47.6
57.3,1.73,1.48,2.13,2.6,3.3,0.0,0.0,-4.9
20.2,3.09,1.28,0.72,1.3,1.4,25.4,12.5,-2.1
49.0,0.94,1.18,1.59,1.3,2.0,69.5,31.4,3.1
152.6,2.4,1.67,1.11,1.2,1.5,37.0,18.2,-3.4
97.3,0.14,1.54,1.33,0.8,1.6,42.8,16.5,-4.6
20.5,0.97,1.13,1.92,0.4,0.8,-1067.2,33.1,18.2
-86.4,-6.0,1.64,1.12,0.8,1.0,528.7,22.8,-0.9
-57.2,1.56,1.21,1.41,1.4,1.5,113.1,32.8,-1.1
-638.0,52.03,1.99,1.88,5.0,5.1,279.3,62.2,-0.6
36.5,0.8,0.97,0.77,1.4,1.7,420.0,50.8,6.1
88.9,0.99,1.13,1.21,0.7,1.5,73.6,29.6,9.1
45.9,-0.78,1.25,1.36,0.8,1.5,48.4,24.4,7.7
31.7,2.19,0.99,1.07,1.9,3.0,2.3,1.8,-5.2
72.6,1.68,1.35,1.38,0.8,0.9,-200.4,150.4,6.7
56.5,0.54,1.44,1.56,0.6,1.7,44.5,20.3,0.4
24.6,0.3,0.5,1.01,1.6,1.9,4.5,3.6,-6.7
232.2,-2.53,1.06,0.34,0.4,0.6,91.5,38.9,26.6
471.2,-3.45,1.07,1.35,0.9,1.4,32.7,21.0,14.6
28.4,-0.72,1.46,1.91,0.3,1.0,97.0,30.7,35.7
55.4,-1.38,1.18,1.53,2.1,3.6,48.7,26.0,0.4
212.7,40.94,1.22,2.04,1.3,1.6,17.1,5.6,-4.8
32.3,-24.4,1.12,0.98,0.9,1.7,25.2,17.3,7.8
33.4,3.44,1.38,1.09,0.7,1.1,-843.9,64.2,7.9
18.5,0.07,0.72,0.73,1.3,1.6,121.1,42.1,16.2
9.6,-2.93,1.3,1.32,0.3,0.7,-1195.9,27.0,22.1
-1980.0,-43.29,1.58,1.65,1.5,1.8,13.6,7.6,-5.0
-249.2,-3.65,1.6,1.92,1.2,1.5,6.4,3.5,-2.9
-36.1,0.28,2.6,2.62,7.0,7.8,1.6,1.4,-2.6
71.8,1.67,0.89,0.6,1.0,1.0,17.7,11.8,-1.1
11.6,0.01,0.8,1.15,8.5,8.8,2.9,2.5,-11.0
34.2,-0.75,1.26,1.53,0.5,1.0,221.9,18.2,5.4
154.6,42.84,1.15,1.86,2.2,3.3,56.9,27.6,1.2
111.1,0.4,1.95,1.34,2.0,2.6,1.0,0.7,-7.8
16.0,0.29,1.2,0.78,1.0,1.1,186.8,34.4,2.9
284.4,0.23,1.21,0.93,2.7,2.8,49.1,26.3,-2.3
24.3,-0.45,0.98,0.75,0.4,0.6,959.9,46.9,11.6
-35.8,-0.86,2.32,2.23,2.6,2.7,68.2,34.9,3.1
806.2,7.47,1.25,1.45,4.3,4.9,13.7,11.2,-8.6
24.7,1.65,1.08,0.75,1.6,2.3,124.8,45.4,9.1
30.9,0.14,0.88,1.18,1.3,1.5,3.3,2.2,-8.4
-26.0,-0.47,0.71,0.71,3.7,3.9,202.6,56.7,7.2
24.5,0.36,0.2,0.85,6.3,8.9,0.1,0.1,-17.0
62.7,1.29,1.38,1.61,6.2,6.5,1.2,1.0,-5.9
-80.8,-1.13,2.2,0.56,1.8,3.0,41.5,24.0,10.3
39.9,2.92,1.05,1.79,2.1,3.0,0.3,0.2,-7.2
17.1,0.91,1.33,1.22,0.6,1.2,55.6,14.8,21.3
12.8,0.16,0.41,0.36,1.7,1.8,393.0,58.4,21.2
23.7,1.07,0.63,0.31,1.3,1.5,85.7,38.6,23.0
27.3,-2.88,0.83,0.86,0.3,1.3,4.5,2.0,-3.7
-29.9,0.2,1.48,1.96,42.6,43.0,5.8,4.7,-8.5
-75.6,1.46,0.9,1.68,1.2,1.3,5.9,3.6,-4.9
-18.5,14.17,1.43,15.06,0.3,0.4,65.2,22.7,0.0
9.2,-0.74,0.71,0.67,1.0,1.3,17.8,9.9,-27.0
